n_samples,lower_400h,upper_400h,width_400h
10000,0.772727313540085,0.8099836547967647,0.03725634125667976
20000,0.7728846399041299,0.8097889185271021,0.036904278622972186
50000,0.7735306739018539,0.809958535939162,0.03642786203730808
